CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Gross operating revenue,Total rental revenue,Operating revenue - Disposal of lands,Interest revenue,Operating revenue - disposal of investments,Total investment revenue,Sales discounts and allowances,Total operating revenue,Cost of goods sold (A) ¡@,Operating cost - Rent,Operating cost - disposal of lands,Interest expense,Operating cost - disposal of investments,Total investment losses,Total operating costs,Total operating expenses,Total selling expenses,Total administrative expenses,Total research and development expenses,Total interest income,Total interest expense(excluding lease liabilities),Total non-operating income and expenses,Total tax expense (income),Total profit (loss) from discontinued operations,Total diluted earnings per share,Average diluted common shares (Thousand),Earnings before interest and tax,"Earnings before interest, tax, depreciation and amortization",Recurring net income,Treasury shares-buys back,Treasury shares-subsidiary holding,Total treasury shares
1217 AGV,2023/12,4,Y,12,NTD,5273175.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,373137.00 ,4900038.00 ,3486325.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3486325.00 ,1284939.00 ,917363.00 ,317411.00 ,48171.00 ,4470.00 ,124642.00 ,131968.00 ,43142.00 ,0.00 ,0.41 ,494829.00 ,393508.00 ,524469.00 ,178387.00 ,0.00 ,0.00 ,0.00 
1218 Taisun,2023/12,4,Y,12,NTD,11215477.00 ,12948.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11228425.00 ,9678785.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9678785.00 ,1618100.00 ,1180874.00 ,436519.00 ,0.00 ,25606.00 ,20894.00 ,185458.00 ,203527.00 ,0.00 ,(0.17),486393.00 ,143869.00 ,288029.00 ,(91998.00),0.00 ,13679.00 ,13679.00 
