CO_ID,YYYY/MM,Quarter,consolidation,Month,Currency,Gross operating revenue,Total operating revenue,Earnings before interest and tax
1217 AGV,Dec-23,4,Y,12,NTD,5273175,4900038,393508
1218 Taisun,Dec-23,4,Y,12,NTD,11215477,11228425,143869
